rating,review,augmented
2,"Nice, compact microwave BUT… it didn’t even last 8 months! It sputtered, smoked and flashed and…done.",False
2,"Nice, compact microwave BUT… it didn’t even last 8 months! It sputtered, smoked and flashed and…done.",True
2,"Nice, compact microwave BUT… it didn’t even last 8 months! It sputtered, smoked and flashed and…done.",True
3,"The unit will heat up food. However, if you reduce the power on any level, it really doesn’t do a whole lot of anything. For instance, if you cook something on regular power for two minutes, it’ll be blazing hot. However, if you reduce it to half heat over four minutes, it’ll still be cold. I’ve tried to see if experiment even reducing it to maybe seven or eight power level. So I’m saying with my unit is that if you leave it all in all the time you’re gonna be happy. Anything else and you’ll be sadly disappointed  And take five times as long to get the same result. If you don’t go full power all the time.",False
3,"The unit will heat up food. However, if you reduce the power on any level, it really doesn’t do a",True
3,"whole lot of anything. For instance, if you cook something on regular power for two minutes, it’ll be blazing hot.",True
3,"However, if you reduce it to half heat over four minutes, it’ll still be cold. I’ve tried to see if",True
3,experiment even reducing it to maybe seven or eight power level. So I’m saying with my unit is that if,True
3,you leave it all in all the time you’re gonna be happy. Anything else and you’ll be sadly disappointed And,True
3,"whole lot of anything. For instance, if you cook something on regular power for two minutes, it’ll be blazing hot. The unit will heat up food. However, if you reduce the power on any level, it really doesn’t do a experiment even reducing it to maybe seven or eight power level. So I’m saying with my unit is that if However, if you reduce it to half heat over four minutes, it’ll still be cold. I’ve tried to see if take five times as long to get the same result. If you don’t go full power all the time. you leave it all in all the time you’re gonna be happy. Anything else and you’ll be sadly disappointed And",True
1,THe microwave did not work had to return this back to amazon :(,False
1,THe microwave did not work had to return this back to amazon :(,True
1,THe microwave did not work had to return this back to amazon :(,True
3,"Ok, so I know I went the cheap route and bought this used, but I've bought plenty of used items before and never had anything show up dirty before. Seems to work fine, but at least wipe it down, please. Hopefully more attention was paid to functionality.",False
3,"Ok, so I know I went the cheap route and bought this used, but I've bought plenty of used items",True
3,"before and never had anything show up dirty before. Seems to work fine, but at least wipe it down, please.",True
3,Hopefully more attention was paid to functionality.,True
3,"before and never had anything show up dirty before. Seems to work fine, but at least wipe it down, please. Ok, so I know I went the cheap route and bought this used, but I've bought plenty of used items Hopefully more attention was paid to functionality.",True
2,"We have had this microwave for a couple months. Other than not needing to dirty a pot, this does not take any less time than something would on the stove. I am currently waiting for it to reheat my soup. We are at 14 minutes so far. It will not fully pop a bag of popcorn. Unless you have no other option, I would look elsewhere.",False
2,"We have had this microwave for a couple months. Other than not needing to dirty a pot, this does not",True
2,take any less time than something would on the stove. I am currently waiting for it to reheat my soup.,True
2,We are at 14 minutes so far. It will not fully pop a bag of popcorn. Unless you have no,True
