rating,review
2,"Nice, compact microwave BUT… it didn’t even last 8 months! It sputtered, smoked and flashed and…done."
3,"The unit will heat up food. However, if you reduce the power on any level, it really doesn’t do a whole lot of anything. For instance, if you cook something on regular power for two minutes, it’ll be blazing hot. However, if you reduce it to half heat over four minutes, it’ll still be cold. I’ve tried to see if experiment even reducing it to maybe seven or eight power level. So I’m saying with my unit is that if you leave it all in all the time you’re gonna be happy. Anything else and you’ll be sadly disappointed  And take five times as long to get the same result. If you don’t go full power all the time."
1,THe microwave did not work had to return this back to amazon :(
3,"Ok, so I know I went the cheap route and bought this used, but I've bought plenty of used items before and never had anything show up dirty before. Seems to work fine, but at least wipe it down, please. Hopefully more attention was paid to functionality."
2,"We have had this microwave for a couple months. Other than not needing to dirty a pot, this does not take any less time than something would on the stove. I am currently waiting for it to reheat my soup. We are at 14 minutes so far. It will not fully pop a bag of popcorn. Unless you have no other option, I would look elsewhere."
2,I should have gotten a larger oven. This one is much smaller than I like.
1,"I would push the start button, then its power stopped and also tripped the circuit and all nearby circuits on my kitchen island. I had to flip the breaker switches at the power box to restore power to those sockets.It happened again a few weeks later, and then the sockets stopped working completely! Flipping the breaker switches doesn’t reset them anymore and now I’m without electricity on my kitchen island. Thanks Black and Decker…"
2,Works well for cooking.  I dislike the way the plate does not stay in place.  Got to fix it with every use.  I dislike that the inside stays wet after use.  I would not buy this item again.
2,Terriable microwave:Slides all overButtons not lightedButtons hard to activate  especially  to openOnly ordsred because i could not go to Best Buy  because of the VirusDO NOT BUY
1,"Awful, the deviceMoves at the slightest touch, has zero wait to it, closing and opening it is like opening the 16 year rusted garage door, barely fits a small dinner plate, barely warms anything bigger than a meatball, a bag of microwave popcorn doesn’t even fully rotate Inside(burnt popcorn no matter what), the rotation plate never ever stays on track and flies off at every possible moment. Honestly should have known better than to get a black and decker product. Their line of items are cheap and a waste of market space.Save yourself the hassle, get something better!"
2,THE BUZZER IS LOUD AND CONTINOUS. CANNOT BE STOPPED BY JUST SHUTTING DOOR ...NOISE GOES ON AND ON.CHILD LOCK BUZZER IS A PAIN!!! NOT NEEDED.  NEVER HAD ONE ON ANY OTHER MICROWAVE.A BAD IDEA!!!! beep  beep  beep  beep  etc!!!!
2,"This microwave takes 3x as long to heat anything as my old microwave. It creates steam and every time you take something out (no matter what it is), it seems that there is a pool of water in the bottom. It has no interior light and doesn’t have a reminder beep to take food out. I do like that it takes up less counter space but overall not worth it. Spend a few more bucks and get a decent microwave."
2,"This microwave has very little power and takes forever to warm up anything. I bought it for the compact size, but I didn't realize it would be so weak."
2,This microwave takes twice as long to cook as packaging instructions and our past normal Microwave. Buttons are also hard to press (they must be pressed very hard to respond).Only positive is that the Microwave looks nice.
3,"My 35 year old microwave quit, so I bought this one, over twice what I paid for the old one. It's a whole lot quieter than the o;d one, but maybe they get noisier when they get older.""Think outside the box"" is to developers, meaning how the ultimate consumer will use it, and it's pretty good in this respect, except for the turntable. It has to be lined up perfectly after cleaning, and is hard to line up. It would be really hard for someone with reduced vision, they really need to work on that part."
1,The microwave stopped working. It doesn't work no more. I need to return it. I will order another one.
2,"Horrible, worse than a hotel microwave!"
1,"It arrived broken , severely dented and un useable."
3,It wasn’t very powerful and it cam with a dent on the side
1,mine had a big dent on right side
2,Plate always slides off. Too deprivation. And started smoking after a year and a half
3,"Purchased this microwave in September, 2021.  The size was perfect for the space and fairly easy to use.  It has a little less power than what I was used to but adjusting cooking times isn’t a problem. My only problem is that the finish has chipped at the bottom of the opening.  It started to rust and sent rusty steam throughout the unit.  I have no clue as to why a chip occurred but the unit is now mostly useless.  I hope this was just a fluke with my microwave and not a problem for anyone else.  Just a heads up on the possibility."
2,"The buttons are hard to use, you have to press hard on them to work. The glass plate doesn't stay in place and makes a lot of noise.  This is a mess when cooking and heating up food."
3,This microwave sucks. It is compact but good grief. You can heat a plate of food for two minutes and it's half cold. Both eveness and timeliness are lacking. Pass!!
1,"On its 3rd use, my wife was popping popcorn in the microwave and we heard an explosion after maybe 20 seconds of starting it. The turntable had cracked in half. Never seen this happen before in my entire life. Amazon was no help at all, they wanted me to contact the manufacturer or maybe give me $20. I just wanted a microwave that worked properly after my other one went out. Now I guess it’s a trip to Walmart. I am sending it back for a refund. Maybe they’ll give me my money back. I’m just about done with Prime and the whole Amazon company. They’re not the same company they were."
2,"Even on the highest power setting, it takes forever to heat stuff up. That said, it does eventually heat, but it took 5 minutes to heat up a 4 minute Healthy Choice meal. As long as you’re willing to mix and reheat a couple of times, this is great for small spaces."
1,"We wanted a smaller microwave and this B+D was a disappointment. The turntable was too big for the unit. it's not centered inside so the bowl/plate is spinning lopsided. A standard dinner plate did not fit and would get stuck while the turntable is turning. The buttons also would not all depress. Some did. Some did not. That was the last straw. I can use smaller dishes, but I'm not going to keep a microwave where Some of the buttons don't work."
