rating,review
1,I purchased this product not even a year ago and it already broke. I reached out to black + decker who was no help and referred me to the manufacture. I reached out to them and never heard back. I don’t recommend this product or black + decker since they don’t seem to care about their customers.
1,"We bought a cheaper Toshiba microwave, returned it because the top got REALLY hot and it sounded like it was going to explode.  Bought this one (more expensive) and HATED it from the start.  It is LOUD!  We put a piece of gorilla tape the entire way around it, which helped a little.  When you touch the “buttons”, if you’re not exactly in the middle it doesn’t work.  Cooking is definitely not even. Half the time you change the power level it doesn’t do anything.  There were times we had to unplug it to stop it.  If you make a mistake trying to program it, the screen goes blank. Do NOT waste your money!"
4,Pleased with the micro-wave. Good product.
2,I purchased this microwave a month ago and my impression is much different now. It is very cheaply made and already the number symbols are worn off. It seems to work for heating water and that is about it. Popcorn comes out very inconsistent. It has destroyed vegetable and potatoes when I tried to cook them. I would recommend against this purchase.
3,"The microwave oven works, but I find the buttons aren’t very responsive. I often have to hit buttons multiple times to register a finger touch. Aside from that it’s fine."
3,We’ve loved this microwave but less than a year into having it the bottom of the microwave paint has started chipping off. We’ve been very good about cleaning it and I don’t see any reason why this would be happening so soon after we bought it. Once the metals start showing it is more likely to have issues with radiation in the food and that’s scary so I’ll be having to buy a whole new microwave less than a year later.Also the 7/8/9 numbers never worked but that wasn’t a huge deal cause we worked around it.
5,"Love this microwave, easy to use, cooks well."
5,So far it still works
1,"Problems on arrival.  The oven shut itself off whenever it wanted, regardless of how much time left on timer.  The display fickered very badly.  Sent it back. Will update review if replacement is any better."
1,Well I only used it once.  Just now.. to heat up a frozen dinner.. followed directions and heated it for 3 mins..  well...dinner still frozen solid.  so i hit the 30 second button 3 times... still frozen.... tried again.. little bit cooked.. but come on!!!  This is suppose to be a 1100 watt oven!  Worked like a 110 watt oven.  Needless to say i believe I will be returning it!!!  Plus hard as hell to read.
1,broke after 3 years of light use dont bother
1,"bought this a few days ago, set it up and started using it.  First time, steam/condensation formed inside the door between the two glass panels.  So we're sending it back but in the meantime while we wait for the Panasonic unit we ordered to arrive we continued using this one.  6 minutes to boil a coffee mug of water, didn't think that was so good, then this morning I placed a Costco chocolate muffin on a paper towel and put in the microwave and set it for 30 seconds.  At around 18 seconds I noticed smoke forming inside the microwave (luckily this would be one of the times I stood there to watch it).  I shut it off, opened the door and the paper towel was on fire.  Didn't need the fire extinguisher, the flame died about a second after I opened the door.  Now the house smells of smoke and I decided not to eat my muffin.  Too bad, those Costco muffins are SO GOOD."
5,"Read a ton of reviews for microwaves and this one kept getting high ratings from various sites however several comments on Amazon were not positive. Decided to take my chances and so far I love this microwave. It is larger than my last one but of course I had read dimensions listed and expected this. The microwave when running is so quiet I have to keep looking that it is on. The settings are super easy and intuitive- mine arrived without a printed manual and while I did download one, it really is quiet easy to operate. The door handle is nice and sturdy and easier to deal with than the normal ""push"" kind on most microwaves and overall it also looks quite nice on my counter. Glad I decided to take a 'risk"" on this one!"
4,"Really like the price for this very strong microwave.  Defrost and other options work great.  It is a 1200 watt microwave so we did have to adjust from our 1100 watt microwave.  It cooks much faster.I would've given it 5 stars but the popcorn setting is way off.  We had to learn a trick of how long it takes to cook popcorn.  It took us 3 burnt bags of popcorn to find the sweet spot.  It's a small thing but just a warning.  Follow directions on popcorn packages and stay near them.  Other than that, it is a great microwave for the price."
3,The item showed up two days early. Everything seemed Okay. Noticed a large speck or dirt inside the glass door. Poor quality control.
1,Did not work door would not open
2,"After only 5-month use, the microwave started to make this high-pitched screeching sound... According to the research I did, it is very likely due to faulty magnetron. I checked the price of a new magnetrons, it costs around $100 which is about the same price as a 0.9 Cu Ft microwave LOL So I decided to replace it with a new microwave, of a different brand of course."
5,"This is a great little micro,Very quite, easy to use.Fits on my counter."
5,Really like this microwave especially for the price! Easy to use and easy to clean. Small size so great sitting on the counter and looks really good as well. Great purchase! Thanks
4,"The smaller footprint is nice, and it is fairly easy to operate. The controls are a little different from those I have used in the past, but not bad if you take the time to read the operating manual.The power level is less than I expected, most items take about 25% longer to heat than I am used to .Overall, not bad for the price."
5,"This red microwave works great and looks pretty. It's the perfect size for a couple or a small family. The red is more of a gloss cinnamon than red. The size for this red model: 18 3/4"" wide, 12 3/4"" deep and 10"" high. The measurements listed in the description must be for a different model."
4,"We doubt the power rating on this microwave. Frozen vegetables that previously cooked in 4.5 minutes take 6 minutes in this microwave.On the Plus+ side of things it is quiet, much quieter than the Frigidaire model this one replaced in our home kitchen.The light inside ours is always ON when the oven is cooking. The door is very easy to open.Good cooking to you!"
3,Not as well built and user friendly as past Panasonics
4,I like that it has a door handle rather than a button release for the door. I also like that pushing 1-6 on the keypad will automatically start the microwave with that number of minutes on it--makes it easy for my elderly mom to use! It's a good size for her current needs.
3,"It seemed to work just fine. The door opening is small for 1.6 cf. (more like 1.2cf) Once you get past the door, the sides and back are recessed a bit, but is still seems like a 1.4 cf at max. I returned for a larger size."
5,"We've had this for barely a year and it randomly started sparking up and making really loud noises. There was nothing unsafe inside while it was running. I've seen multiple other videos in the reviews showing the exact same thing happening. DO NOT buy this. It was okay in the beginning but with how unpredictable the time line for ""possible explosion"" is based on these reviews, it's completely unsafe."
4,"The product works great but man are the buttons very hard to see. The markings for minutes, temperature, and functions are gray and do not contrast against the black as well as it shows in the picture. Making it a little more difficult to use..."
4,Smaller than expected but does the job. Good value for the price.
3,"I replaced my old 1300 watt Panasonic microwave oven with this one.  I use a silicone popcorn popper with quality popcorn.  My old Panasonic popped corn vigorously and when popping slowed, you knew it was time to stop the microwave to prevent burning.  This new Panasonic pops sporadically, never giving any clue as to when it is finishing up  -- resulting in either too many unpopped kernels, or burnt popcorn.  Very disappointed in Panasonic."
5,"After years of tossing out mechanically fine microwaves when the pain inside began to peel I opted for a stainless interior.  I found those were hard to find.  So I purchased this microwave with the air fryer option as it was the least expensive stainless steel interior microwave I could find.  It has a large footprint on the counter, but after taking a deep breath I realized it did not take much more space than the large microwave I had there for years.  It just takes all the depth of the counter rather than being pushed back towards the wall.I haven't used the air fryer function and likely will not.  So I cannot speak to that."
5,Heats quickly. Mom is elderly stroke victim and it’s easy for her to use with the buttons and enough room on inside for her to comfortably put food in and out
2,"The microware by itself is quite sturdy and elegant looking. Give you the feel of having one of the commercial ones we see in busy cafeterias. But that is what you expect in this price range. I primarily got this model only for the sake of its air fryer capability because we don't have enough counter space to have a separate appliance in our kitchen.  To the air fryer capability I must say this is an absolute disappointment. The convection oven metallic inserts that come with this model cannot even balance food properly, let alone holding enough quantity. One would expect Toshiba to provide some kind of air fryer basket that can be used to hold food items like potato frying or chicken wings at certain height within the microwave. To me it is some what dumb on Toshiba’s part to design and produce an air fryer capable microwave and then let it down for not have an appropriate inserts like a basket"
4,It works fine. The door is a bit dificult to open
5,"There is only a small space in my kitchen to put the microwave , and its size is just right to put it in.  In addition to being smaller, its other functions can meet daily needs.  very good"
5,I saved up for this microwave and glad I did. It’s exactly what we needed here at home. Can’t go wrong with this product. Definitely recommend.
5,"Great product!!  Wanted an M-Wave that worked on low power setting without the on-off pulsing which can cause liquids to boil and then settle the foam before repeating the on-off cycle.  This unit delivers steady heating power so smoothly.  The user interface is not as intuitive as I would like but it works ok once you get used to it.  The turntable is a little clumsy to use if taking the glass plate in and out of the unit as the plastic turntable guide tends to slip off center which takes extra work to put the turntable back in to resume cooking.  Minor problem.  Large interior, fairly well lit for peeks during cooking.  Good power at full setting.Best M-Wave I have ever had with experience of 4 units over the years."
1,"It cooks OK.  However the glass tray rattles very loudly when it is rotating.  I have tried all sorts of remedies.  Nothing wrong with the roller ring either.  What works the best is a few layers of paper between the rotor and plate. Still rattles but not as loudly.I shouldn't have to do this.TOTALLY INEXCUSABLE.And when I say loud - I mean LOUD !It's like, when they were designing this thing, they went to the existing parts bin and chose parts that don't quite fit.  The spindle used to turn the tray has so much free play between it and the tray that it WILL cause it to rattle.  I'm having to ""pad"" the spindle with folded up paper and the dang thing STILL RATTLES!!Do people who design these things ever USE these things?Toshiba really disappointed on the design of this unit.Addendum - After much experimentation, I finally got the glass tray out of the old unit that it was replacing.  I put that tray into the Toshiba and the sound went away.  The older tray is an inch or so less in diameter but that is OK.  Comparing the two trays side by side, it is quite evident that the casting on the newer tray is too large for the spindle drive.  The older tray fits tighter and luckily is noise-free.My advice is to NOT get rid of your old microwave.  It came in handy for me.Still inexcusable.Addendum 2 - now eight months later the door glass is fogging up. Not on the outside. Not on the inside. But between the layers of glass where it cannot be be reached to be wiped off.WHAT A TOTAL HUNK OF WORTHLESS JUNK!!BUYER BEWARE!!"
5,"Best microwave I have ever used.  Went for a larger and higher powered microwave, definitely not disappointed."
2,I bought this for its features and size and power. very disappointed . loud buzzing  on right side. I believe the power rating is less than advertised as it generally takes much longer to get food at recommended temp of 165f than the food packages says .a frozen diinner package says cook on high for 6 minutes actually takes 9-`10 minutes to cook to 165fwould not recommend. had mine now for 5 months.
3,"Cons:Most of the reviews are correct, this machine is very loud, like twice or more louder than normal microwaves. Not as loud as lawn mover but very close to sit in a car.The button is not easy to press but still ok.It does heat the dishes a lot more than other model.Pros:The size is decent.Seem to heat things a bit more evenly.Overall:If i know it is such loud, I would probably defer for other brand. Sacrifice a bit of heating evenness to save my ear."
1,"I would not recommend this microwave.I bought the microwave less than a year ago and it recently broke. Specifically, it sparked while baking a simple potato on a plate. Luckily, I was next to the device as a small fire was starting and immediately stopped it. I’ve never experienced a product malfunction in this manner.Furthermore, what’s almost more disappointing is that my experience with customer service was awful. After the incident occurred, I called the company to explain the situation. I was told someone would contact me to rectify the situation, but it’s been weeks. I’ll update this review accordingly if I hear back from customer service and the matter is resolved."
5,I was concerned mainly with dimensions which were accurate and fit the small space I have in a pantry. Unit performs nicely although it is not as hot as the previous other brand I had. But it does its job and looks good.
1,"Listen, I'm not the kind of person to write angry product reviews. I try to be an informed consumer, I research products before buying them, and I try not to assign blame where it isn't deserved. But my experience with this microwave was ridiculous.Setup of the microwave out of the box was painless, pop the rotating tray inside, plug it in, you're good to go. The sensor heating worked well, operation was reasonably quiet, no complaints! ...for four days. On day five when attempting to defrost some hamburger, the microwave stopped working 30 seconds into a cycle and the display said ""H97."" A quick look in the user manual said of this error simply: Contact Panasonic Support. And here my troubles began.Panasonic's support website is labyrinthine, and does not list a support phone number. The first point of contact I could find was a live support chat. Clicking on the support chat link gave me a DNS error saying that the server could not be reached. I eventually figured out that the support chat line is only operated from Monday to Friday during Eastern Seaboard business hours, and outside of those hours they just... turn off the web server? Keep in mind that this is an international consumer electronics giant.Attempt #2 was when I found a separate page on the Panasonic website for making a service/repair request. Emailing the repair request email generated an automated email saying that I would get a reply within 48 hours. 48 hours later, I received an email telling me to call their support phone number, the one that was not listed anywhere on their website. But whatevs, I passed their first temple guard and now I had the magic number. I called the number, an automated voice told me that I could expect  a 30 minute wait before hearing a human voice, and that I might be charged a $9.95 service fee just for calling them(!?). Ok, I'll fight that battle when I get there. I follow through a nesting doll of ""Press 1 for X, Press 2 for Y,"" until I get to a menu for ""Consumer Microwaves that display an H97 error."" Jackpot! I Press 1. The automated response is, ""Visit the service request webpage to submit a repair request ticket. Have a nice day.""Listen, I'm not a luddite who is scared of phone robots. I know they serve a useful function by funneling calls to the appropriate channels of large corporations with millions of customers. But this particular phone robot made me want to travel back in time to 1995 and kill Dr. Myles Dyson before he can invent Skynet.I return to the computer the next day and try the support chat once more, making sure that I'm doing it during ""banker's hours."" The website does work this time, and I'm connected with what I'm fairly convinced was a human being. After asking the basic support questions, ""model number, when did you buy it, did you try turning it off and on again,"" I was given this stupendous piece of advice. By a paid human employee. Of the Panasonic Corporation, formerly Matsushita Electric Industrial Co., Ltd., established 1918.""I suggest you just return it to Amazon for a refund and buy another one.""Listen, I believe in science. I feel I know enough about electronics manufacturing to understand that sometimes, every once in a while, an appliance or device can be shipped with a defect, a bad inverter or a weak fuse. I know that my experience with Panasonic microwaves is not going to be a universal experience. Someone else's Panasonic microwave might last for twenty years without a lick of trouble. But know that if you ever do experience a problem with your Panasonic microwave, and if you attempt to seek support from the Panasonic Corporation, you will be drawn into a Kafkaesque customer service nightmare that will make you want to brick yourself up in the wall of a Catholic Church and become an anchorite.I did return it to Amazon. I did receive a refund. I'm not buying another one."
